19439.8603	0.6808	0.7513	0.6406	0.5436	0.8189	0.6748	0.6808	0.7548
19284.605	0.6829	0.7279	0.6522	0.5873	0.7791	0.6801	0.6829	0.7548
21614.5368	0.6684	0.8614	0.609	0.4038	0.9346	0.6437	0.6684	0.7722
18298.0052	0.7059	0.7292	0.6866	0.6581	0.754	0.7053	0.7059	0.7811
18913.4671	0.6963	0.7843	0.6493	0.5443	0.8493	0.6893	0.6963	0.7771
18569.0573	0.6977	0.7783	0.6527	0.5557	0.8407	0.6917	0.6977	0.7787
18740.3245	0.7002	0.8104	0.6471	0.5252	0.8763	0.6909	0.7002	0.7843
18492.4167	0.7037	0.7245	0.6862	0.6605	0.7472	0.7032	0.7037	0.7794
18269.079	0.7082	0.7578	0.6742	0.6148	0.8023	0.7057	0.7082	0.7808
18369.9821	0.7108	0.786	0.6664	0.5819	0.8405	0.7061	0.7108	0.7912
18678.9146	0.6944	0.7938	0.6447	0.528	0.8619	0.6859	0.6944	0.7787
17905.0813	0.7133	0.7272	0.7009	0.6858	0.7411	0.7132	0.7133	0.7944
18195.4624	0.7148	0.7692	0.6782	0.6164	0.8138	0.7121	0.7148	0.7964
18250.7088	0.7086	0.8001	0.6592	0.5587	0.8595	0.702	0.7086	0.791
18542.6983	0.7073	0.7885	0.6612	0.5693	0.8463	0.7018	0.7073	0.7877
18218.6635	0.717	0.7915	0.6722	0.5916	0.8431	0.7126	0.717	0.7983
17995.9642	0.7221	0.7645	0.691	0.6445	0.8001	0.7205	0.7221	0.8009
17573.2976	0.7212	0.751	0.6973	0.6644	0.7783	0.7203	0.7212	0.8019
17601.1272	0.723	0.7534	0.6988	0.6658	0.7806	0.7222	0.723	0.8024
18553.6075	0.7195	0.822	0.6659	0.5627	0.8773	0.7126	0.7195	0.8049
17319.03	0.7288	0.7812	0.6924	0.638	0.8201	0.7266	0.7288	0.8111
17851.8535	0.7196	0.7793	0.6805	0.6154	0.8246	0.7167	0.7196	0.7996
17509.9705	0.7292	0.782	0.6926	0.638	0.821	0.727	0.7292	0.8079
17702.4738	0.721	0.7211	0.7209	0.7238	0.7182	0.721	0.721	0.8034
17960.1355	0.7212	0.7423	0.7032	0.6803	0.7623	0.7207	0.7212	0.7989
17698.3446	0.7251	0.7725	0.6913	0.6406	0.8101	0.7232	0.7251	0.8049
17760.9497	0.7227	0.7484	0.7015	0.6737	0.772	0.7221	0.7227	0.8012
17366.3547	0.728	0.7751	0.6943	0.6449	0.8117	0.7262	0.728	0.8084
17608.4058	0.7231	0.8081	0.6743	0.5874	0.8596	0.718	0.7231	0.8099
17546.001	0.7259	0.7382	0.7147	0.703	0.749	0.7258	0.7259	0.807
17516.3958	0.7283	0.7979	0.6846	0.6139	0.8435	0.7248	0.7283	0.8102
17892.5042	0.7274	0.8013	0.6821	0.6071	0.8485	0.7235	0.7274	0.8107
17933.5055	0.7305	0.8062	0.6843	0.6092	0.8526	0.7266	0.7305	0.8117
17349.1315	0.7351	0.7966	0.6942	0.6337	0.8371	0.7324	0.7351	0.8159
17067.1941	0.738	0.7518	0.7255	0.7131	0.763	0.7378	0.738	0.8174
18316.6206	0.6951	0.6513	0.7765	0.8441	0.5452	0.688	0.6951	0.8123
17595.0222	0.7302	0.746	0.7161	0.7006	0.7599	0.73	0.7302	0.8121
17492.2758	0.7231	0.7249	0.7214	0.7221	0.7242	0.7231	0.7231	0.8079
18213.9955	0.728	0.8069	0.6808	0.6018	0.855	0.7237	0.728	0.8106
17650.2803	0.7315	0.7884	0.6929	0.6352	0.8283	0.7291	0.7315	0.8097
17780.6025	0.7297	0.7677	0.7008	0.6613	0.7986	0.7285	0.7297	0.8076
17337.3845	0.7355	0.7763	0.7049	0.6642	0.8073	0.7343	0.7355	0.8151
17427.9517	0.7315	0.8005	0.6878	0.6191	0.8447	0.7282	0.7315	0.812
17776.1712	0.7338	0.8339	0.6793	0.586	0.8825	0.728	0.7338	0.8183
17223.9573	0.7371	0.7577	0.7193	0.6997	0.7748	0.7368	0.7371	0.8175
17782.4736	0.7369	0.8242	0.686	0.6043	0.8703	0.7323	0.7369	0.8217
17096.6073	0.74	0.8091	0.6956	0.6304	0.8503	0.7369	0.74	0.8218
17986.7613	0.7328	0.8325	0.6786	0.5852	0.8815	0.727	0.7328	0.8175
18115.9837	0.7197	0.8114	0.6692	0.5749	0.8655	0.7139	0.7197	0.8085
17309.0024	0.7338	0.7551	0.7155	0.6945	0.7733	0.7334	0.7338	0.8141
17453.7961	0.7329	0.7739	0.7021	0.6604	0.8058	0.7315	0.7329	0.8151
17250.6019	0.7372	0.7732	0.7093	0.6739	0.801	0.7363	0.7372	0.8174
17203.0218	0.7313	0.7473	0.717	0.7016	0.7612	0.7311	0.7313	0.8141
17160.5592	0.7352	0.7442	0.7267	0.7194	0.7511	0.7352	0.7352	0.8169
17343.1356	0.7365	0.7912	0.6987	0.645	0.8286	0.7344	0.7365	0.8162
17927.3876	0.7331	0.8277	0.6804	0.5911	0.8761	0.7278	0.7331	0.8191
17490.8493	0.7345	0.7996	0.6922	0.6282	0.8415	0.7316	0.7345	0.8171
16835.2744	0.7387	0.7753	0.7103	0.6746	0.8032	0.7377	0.7387	0.8218
17744.4322	0.7347	0.7813	0.701	0.6544	0.8156	0.7331	0.7347	0.8183
17143.5711	0.7374	0.7566	0.7206	0.7025	0.7725	0.7371	0.7374	0.8205
17213.2898	0.7324	0.7487	0.718	0.7024	0.7627	0.7322	0.7324	0.8152
17532.4741	0.7374	0.8147	0.69	0.6167	0.8588	0.7336	0.7374	0.8212
17747.505	0.7398	0.7832	0.7075	0.6655	0.8145	0.7384	0.7398	0.8206
17113.5001	0.737	0.7559	0.7204	0.7025	0.7716	0.7367	0.737	0.819
17424.4814	0.734	0.7542	0.7165	0.6968	0.7714	0.7336	0.734	0.8141
17439.4663	0.739	0.7945	0.7006	0.647	0.8316	0.7369	0.739	0.82
17716.2602	0.7392	0.8045	0.6965	0.6343	0.8448	0.7364	0.7392	0.8225
17555.0803	0.7297	0.71	0.7538	0.7795	0.6795	0.7289	0.7297	0.822
17125.72	0.7403	0.7472	0.7337	0.729	0.7517	0.7403	0.7403	0.8245
16773.3301	0.7431	0.7875	0.7102	0.6681	0.8186	0.7417	0.7431	0.8253
17636.6327	0.7408	0.7493	0.7327	0.7262	0.7555	0.7408	0.7408	0.8243
16896.028	0.7452	0.7926	0.7107	0.6665	0.8245	0.7437	0.7452	0.8247
17006.9563	0.7427	0.7927	0.7068	0.6595	0.8263	0.741	0.7427	0.8217
17116.5758	0.7438	0.778	0.7167	0.6846	0.8034	0.743	0.7438	0.8245
17008.0457	0.7441	0.7953	0.7077	0.6598	0.8291	0.7424	0.7441	0.8244
17248.832	0.7437	0.7753	0.7184	0.6888	0.7991	0.743	0.7437	0.8245
17301.6726	0.7438	0.7867	0.7117	0.6713	0.8168	0.7425	0.7438	0.8253
18059.3137	0.7371	0.7398	0.7344	0.7341	0.7402	0.7371	0.7371	0.8193
17444.7153	0.7424	0.7788	0.7141	0.6796	0.8057	0.7415	0.7424	0.8221
16950.1758	0.746	0.7836	0.7169	0.682	0.8104	0.745	0.746	0.8262
